Dates,mm
6/1/1963,1.362723097
7/1/1963,1.037343484
8/1/1963,0.894992516
9/1/1963,0.827098839
10/1/1963,0.70832671
11/1/1963,1.205154581
12/1/1963,1.384044387
1/1/1964,1.282705548
2/1/1964,0.928354065
3/1/1964,0.765308903
4/1/1964,4.128219871
5/1/1964,4.599127742
6/1/1964,2.500151226
7/1/1964,1.159710968
8/1/1964,0.977434839
9/1/1964,0.871915355
10/1/1964,0.739681548
11/1/1964,0.665307871
12/1/1964,0.563300129
1/1/1965,0.523667613
2/1/1965,0.534746323
3/1/1965,0.474670452
4/1/1965,0.967735742
5/1/1965,1.365440516
6/1/1965,1.075972645
7/1/1965,0.720199742
8/1/1965,0.669781161
9/1/1965,0.648376258
10/1/1965,0.603141677
11/1/1965,0.625800774
12/1/1965,0.605315613
1/1/1966,0.585959226
2/1/1966,0.625048258
3/1/1966,0.830067097
4/1/1966,1.997261419
5/1/1966,2.634433548
6/1/1966,1.964986839
7/1/1966,1.221208258
8/1/1966,0.952141935
9/1/1966,0.868069161
10/1/1966,0.739556129
11/1/1966,0.671286194
12/1/1966,0.573793548
1/1/1967,0.498541935
2/1/1967,0.474210581
3/1/1967,0.387545806
4/1/1967,0.602723613
5/1/1967,2.002152774
6/1/1967,2.796433548
7/1/1967,1.652190968
8/1/1967,1.380574452
9/1/1967,1.271125161
10/1/1967,1.347171097
11/1/1967,1.279026581
12/1/1967,1.030487226
1/1/1968,0.807115355
2/1/1968,0.739639742
3/1/1968,1.053731613
4/1/1968,3.47127329
5/1/1968,4.494528
6/1/1968,2.982263226
7/1/1968,1.623637161
8/1/1968,1.274135226
9/1/1968,1.136466581
10/1/1968,0.950427871
11/1/1968,0.974048516
12/1/1968,1.362472258
1/1/1969,1.346878452
2/1/1969,0.883830194
3/1/1969,0.730944
4/1/1969,0.706612645
5/1/1969,1.009709419
6/1/1969,1.101307355
7/1/1969,0.763720258
8/1/1969,0.732532645
9/1/1969,0.728728258
10/1/1969,0.676470194
11/1/1969,0.697415226
12/1/1969,0.668526968
1/1/1970,0.662297806
2/1/1970,0.735835355
3/1/1970,1.48191329
4/1/1970,2.869344
5/1/1970,2.726240516
6/1/1970,1.543703226
7/1/1970,0.990687484
8/1/1970,0.867525677
9/1/1970,0.798210581
10/1/1970,0.685542194
11/1/1970,0.615641806
12/1/1970,0.528684387
1/1/1971,0.497747613
2/1/1971,0.514804645
3/1/1971,0.430188387
4/1/1971,2.533387355
5/1/1971,3.277207742
6/1/1971,1.828530581
7/1/1971,0.98554529
8/1/1971,0.902350452
9/1/1971,0.843528774
10/1/1971,0.731905548
11/1/1971,0.671620645
12/1/1971,0.629646968
1/1/1972,0.635583484
2/1/1972,0.655107097
3/1/1972,0.588593032
4/1/1972,1.787100387
5/1/1972,3.048401032
6/1/1972,2.519340387
7/1/1972,1.118531613
8/1/1972,0.959917935
9/1/1972,0.884499097
10/1/1972,0.799172129
11/1/1972,1.193699613
12/1/1972,1.158791226
1/1/1973,0.853186065
2/1/1973,0.895159742
3/1/1973,0.697248
4/1/1973,1.135170581
5/1/1973,1.396669935
6/1/1973,1.052435613
7/1/1973,0.776387613
8/1/1973,0.722666323
9/1/1973,0.68370271
10/1/1973,0.601093161
11/1/1973,0.567104516
12/1/1973,0.50355871
1/1/1974,0.451885935
2/1/1974,0.437211871
3/1/1974,0.358699355
4/1/1974,2.059051355
5/1/1974,2.50069471
6/1/1974,1.250974452
7/1/1974,0.862216258
8/1/1974,0.751721806
9/1/1974,0.719823484
10/1/1974,0.628267355
11/1/1974,0.57483871
12/1/1974,0.484954839
1/1/1975,0.422705032
2/1/1975,0.408699871
3/1/1975,0.345739355
4/1/1975,0.859038968
5/1/1975,1.37823329
6/1/1975,1.133540129
7/1/1975,0.739848774
8/1/1975,0.715015742
9/1/1975,0.712883613
10/1/1975,0.658827871
11/1/1975,0.618066581
12/1/1975,0.517898323
1/1/1976,0.454854194
2/1/1976,0.465389419
3/1/1976,0.421116387
4/1/1976,0.724045935
5/1/1976,1.289770839
6/1/1976,1.235631484
7/1/1976,0.767315613
8/1/1976,0.726136258
9/1/1976,0.71208929
10/1/1976,0.656653935
11/1/1976,0.621787355
12/1/1976,0.551468903
1/1/1977,0.517104
2/1/1977,0.53842529
3/1/1977,0.535206194
4/1/1977,2.504373677
5/1/1977,3.140458839
6/1/1977,1.634339613
7/1/1977,0.977727484
8/1/1977,0.879231484
9/1/1977,0.847082323
10/1/1977,0.789807484
11/1/1977,0.858871742
12/1/1977,0.821956645
1/1/1978,0.833035355
2/1/1978,0.918487742
3/1/1978,2.505836903
4/1/1978,5.906122839
5/1/1978,5.356284387
6/1/1978,2.314697806
7/1/1978,1.458627097
8/1/1978,1.194702968
9/1/1978,1.022920258
10/1/1978,0.831028645
11/1/1978,0.800969806
12/1/1978,0.870493935
1/1/1979,1.069367226
2/1/1979,1.139016774
3/1/1979,0.931698581
4/1/1979,4.421450323
5/1/1979,5.516737548
6/1/1979,4.096614194
7/1/1979,2.054285419
8/1/1979,1.614272516
9/1/1979,1.366276645
10/1/1979,1.081992774
11/1/1979,0.901597935
12/1/1979,0.709413677
1/1/1980,0.594069677
2/1/1980,0.554019097
3/1/1980,0.435790452
4/1/1980,1.470332903
5/1/1980,2.566539871
6/1/1980,2.154202839
7/1/1980,0.904858839
8/1/1980,0.835836387
9/1/1980,0.819824516
10/1/1980,0.737214968
11/1/1980,0.713552516
12/1/1980,0.664471742
1/1/1981,0.621076645
2/1/1981,0.581820387
3/1/1981,0.628267355
4/1/1981,2.286771097
5/1/1981,3.694728774
6/1/1981,2.62757729
7/1/1981,1.072460903
8/1/1981,0.926681806
9/1/1981,0.845786323
10/1/1981,0.759037935
11/1/1981,0.738051097
12/1/1981,0.650257548
1/1/1982,0.575633032
2/1/1982,0.532237935
3/1/1982,0.420196645
4/1/1982,0.744990968
5/1/1982,2.057713548
6/1/1982,2.709685161
7/1/1982,1.370122839
8/1/1982,1.08792929
9/1/1982,0.997251097
10/1/1982,1.137553548
11/1/1982,2.444046968
12/1/1982,2.544382452
1/1/1983,1.37434529
2/1/1983,1.111508129
3/1/1983,0.795409548
4/1/1983,0.972752516
5/1/1983,1.844960516
6/1/1983,1.898556387
7/1/1983,1.002100645
8/1/1983,0.876137806
9/1/1983,0.818235871
10/1/1983,0.703937032
11/1/1983,0.639847742
12/1/1983,0.586126452
1/1/1984,0.587506065
2/1/1984,0.595491097
3/1/1984,0.4536
4/1/1984,1.487724387
5/1/1984,1.68810271
6/1/1984,0.990980129
7/1/1984,0.812299355
8/1/1984,0.803394581
9/1/1984,0.769531355
10/1/1984,0.684288
11/1/1984,0.700801548
12/1/1984,0.71986529
1/1/1985,0.701930323
2/1/1985,0.689597419
3/1/1985,0.763887484
4/1/1985,1.978532129
5/1/1985,2.772896516
6/1/1985,1.870796903
7/1/1985,1.006782968
8/1/1985,0.885502452
9/1/1985,0.816605419
10/1/1985,0.722833548
11/1/1985,0.73224
12/1/1985,0.709121032
1/1/1986,0.706612645
2/1/1986,0.742231742
3/1/1986,0.599211871
4/1/1986,2.306754581
5/1/1986,3.61124129
6/1/1986,2.915331097
7/1/1986,1.31084129
8/1/1986,1.102268903
9/1/1986,0.979985032
10/1/1986,0.832408258
11/1/1986,0.800969806
12/1/1986,0.850510452
1/1/1987,0.890017548
2/1/1987,0.853854968
3/1/1987,0.66167071
4/1/1987,0.803227355
5/1/1987,1.424931097
6/1/1987,1.727275355
7/1/1987,1.027226323
8/1/1987,0.954148645
9/1/1987,0.93111329
10/1/1987,0.806989935
11/1/1987,0.732908903
12/1/1987,0.631361032
1/1/1988,0.558617806
2/1/1988,0.546953806
3/1/1988,0.572664774
4/1/1988,2.593379613
5/1/1988,3.225409548
6/1/1988,1.547424
7/1/1988,0.950260645
8/1/1988,0.863010581
9/1/1988,0.823879742
10/1/1988,0.735626323
11/1/1988,0.689179355
12/1/1988,0.631528258
1/1/1989,0.638091871
2/1/1989,0.656737548
3/1/1989,0.568776774
4/1/1989,2.065489548
5/1/1989,2.872019613
6/1/1989,2.094210581
7/1/1989,1.082327226
8/1/1989,0.947459613
9/1/1989,0.873545806
10/1/1989,0.762507871
11/1/1989,0.711127742
12/1/1989,0.674296258
1/1/1990,0.678978581
2/1/1990,0.734455742
3/1/1990,1.706037677
4/1/1990,4.482738581
5/1/1990,4.399460129
6/1/1990,1.979995355
7/1/1990,1.209669677
8/1/1990,1.01146529
9/1/1990,0.894365419
10/1/1990,0.759372387
11/1/1990,0.79114529
12/1/1990,0.777641806
1/1/1991,0.717356903
2/1/1991,0.713552516
3/1/1991,0.57095071
4/1/1991,0.732574452
5/1/1991,1.976692645
6/1/1991,2.131125677
7/1/1991,0.893905548
8/1/1991,0.825844645
9/1/1991,0.800635355
10/1/1991,0.709873548
11/1/1991,0.66096
12/1/1991,0.605775484
1/1/1992,0.579395613
2/1/1992,0.568567742
3/1/1992,0.452011355
4/1/1992,1.848555871
5/1/1992,2.787737806
6/1/1992,2.245633548
7/1/1992,1.043447226
8/1/1992,0.930277161
9/1/1992,0.865644387
10/1/1992,0.747499355
11/1/1992,0.706278194
12/1/1992,0.670073806
1/1/1993,0.738594581
2/1/1993,0.809916387
3/1/1993,0.677724387
4/1/1993,0.735166452
5/1/1993,0.981615484
6/1/1993,1.044826839
7/1/1993,0.806989935
8/1/1993,0.757783742
9/1/1993,0.732908903
10/1/1993,0.653852903
11/1/1993,0.624504774
12/1/1993,0.55410271
1/1/1994,0.491978323
2/1/1994,0.490264258
3/1/1994,0.459536516
4/1/1994,0.825008516
5/1/1994,1.566487742
6/1/1994,1.711765161
7/1/1994,0.968362839
8/1/1994,0.875176258
9/1/1994,0.816605419
10/1/1994,0.711922065
11/1/1994,0.663719226
12/1/1994,0.614513032
1/1/1995,0.608743742
2/1/1995,0.646160516
3/1/1995,0.805861161
4/1/1995,2.432759226
5/1/1995,3.908736
6/1/1995,2.610478452
7/1/1995,1.188766452
8/1/1995,1.008497032
9/1/1995,0.913721806
10/1/1995,0.784038194
11/1/1995,0.704689548
12/1/1995,0.57471329
1/1/1996,0.501050323
2/1/1996,0.526385032
3/1/1996,0.527262968
4/1/1996,1.894668387
5/1/1996,3.283938581
6/1/1996,2.264028387
7/1/1996,1.023463742
8/1/1996,0.884708129
9/1/1996,0.800008258
10/1/1996,0.680692645
11/1/1996,0.628225548
12/1/1996,0.549587613
1/1/1997,0.474503226
2/1/1997,0.419653161
3/1/1997,0.422705032
4/1/1997,1.886307097
5/1/1997,2.969094194
6/1/1997,2.392583226
7/1/1997,1.227312
8/1/1997,1.072628129
9/1/1997,0.968864516
10/1/1997,0.877224774
11/1/1997,0.968864516
12/1/1997,1.43396129
1/1/1998,2.298058839
2/1/1998,2.627242839
3/1/1998,1.624389677
4/1/1998,3.246270968
5/1/1998,4.180645161
6/1/1998,2.689534452
7/1/1998,1.477230968
8/1/1998,1.215313548
9/1/1998,1.053564387
10/1/1998,0.859875097
11/1/1998,0.754690065
12/1/1998,0.623710452
1/1/1999,0.52805729
2/1/1999,0.481443097
3/1/1999,0.793235613
4/1/1999,2.066116645
5/1/1999,2.239864258
6/1/1999,1.434212129
7/1/1999,0.974299355
8/1/1999,0.824757677
9/1/1999,0.793695484
10/1/1999,0.697540645
11/1/1999,0.665642323
12/1/1999,0.612004645
1/1/2000,0.542564129
2/1/2000,0.488173935
3/1/2000,0.395530839
4/1/2000,0.464344258
5/1/2000,0.568944
6/1/2000,0.667732645
7/1/2000,0.65259871
8/1/2000,0.645742452
9/1/2000,0.646787613
10/1/2000,0.590641548
11/1/2000,0.575173161
12/1/2000,0.554897032
1/1/2001,0.657615484
2/1/2001,0.742315355
3/1/2001,1.023171097
4/1/2001,2.334179613
5/1/2001,2.69639071
6/1/2001,1.674515613
7/1/2001,0.912174968
8/1/2001,0.813386323
9/1/2001,0.751596387
10/1/2001,0.64871071
11/1/2001,0.600173419
12/1/2001,0.517271226
1/1/2002,0.489344516
2/1/2002,0.564930581
3/1/2002,0.621996387
4/1/2002,2.546138323
5/1/2002,3.089914839
6/1/2002,1.499681032
7/1/2002,0.970536774
8/1/2002,0.870828387
