gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camelsch_2410,Ruggell,CH,47.24,9.52,114.14799588306224
camelsch_2412,Vuippens-Château,CH,46.66,7.08,43.2824766521355
camelsch_2414,Mosnang-Rietholz,CH,47.38,9.01,3.178059836947061
camelsch_2415,Rheinsfelden,CH,47.57,8.48,416.1882763137867
camelsch_2416,Hitzkirch-Richensee,CH,47.22,8.25,73.10114673544093
camelsch_2417,Oberkirch,CH,47.16,8.12,75.43454354752912
camelsch_2418,Tiefencastel,CH,46.66,9.58,323.8274538013477
camelsch_2419,Reckingen,CH,46.47,8.24,213.6863046859821
camelsch_2420,Lumino-Sassello,CH,46.22,9.06,470.61120617109606
camelsch_2426,Mels,CH,47.05,9.42,105.78275045376044
camelsch_2430,Somvitg-Encardens,CH,46.65,8.99,21.69875212223672
camelsch_2432,Ecublens-Les_Bois,CH,46.54,6.55,227.0094670915888
camelsch_2433,Allaman-Le_Coulet,CH,46.47,6.41,105.04869100303338
camelsch_2434,Olten-Hammermühle,CH,47.35,7.89,233.12876506090132
camelsch_2436,Alpnach-Chilch-Erli,CH,46.94,8.28,21.54356550509232
camelsch_2437,Ecublens-Eschiens,CH,46.6,6.81,6.904419773002703
camelsch_2450,Zofingen,CH,47.28,7.94,365.1896148603637
camelsch_2457,Ringgenberg-Goldswil,CH,46.69,7.88,1134.539419415382
camelsch_2458,Valangin,CH,47.01,6.9,112.0078110501685
camelsch_2461,Magliaso-Ponte,CH,45.98,8.88,34.28708789774696
camelsch_2462,S-chanf,CH,46.62,10.0,614.321239121975
camelsch_2463,Bioggio-Campagna,CH,46.01,8.91,5.412352037642073
camelsch_2467,Gümmenen,CH,46.94,7.24,1876.2585669186408
camelsch_2468,St._Gallen-Bruggen_/_Au,CH,47.41,9.33,260.32699848531297
camelsch_2469,Hondrich,CH,46.67,7.67,489.3722150649909
camelsch_2471,Murgenthal-Walliswil,CH,47.25,7.83,182.85795716703876
camelsch_2473,Diepoldsau-Rietbrücke,CH,47.38,9.64,6280.478314803388
camelsch_2474,Buseno,CH,46.28,9.12,120.21225037927256
camelsch_2475,Bignasco-Ponte_nuovo,CH,46.34,8.61,314.6832740566122
camelsch_2477,Zug-Letzi,CH,47.18,8.5,99.97041543569276
camelsch_2478,Soyhières-Bois_du_Treuil,CH,47.39,7.4,567.8839669826336
camelsch_2480,Boudry,CH,46.95,6.84,376.6586767923753
camelsch_2481,Buochs-Flugplatz,CH,46.97,8.41,227.3871192922245
camelsch_2485,Boncourt-Frontière,CH,47.5,7.01,211.40894707279477
camelsch_2486,Vevey-Copet,CH,46.47,6.85,64.27956840044023
camelsch_2487,Werthenstein-Chappelboden,CH,47.03,8.07,310.6364395790843
camelsch_2488,Latterbach,CH,46.66,7.58,561.7137572845863
camelsch_2490,Dardagny-Les_Granges,CH,46.22,6.0,119.06897155454872
camelsch_2491,Bürglen-Galgenwäldli,CH,46.87,8.65,107.611098412806
