date,tmin,tmax,prcp,srad,vp,pet,dayl,QObs,area,latitude,elevation
1980-01-30,-3.3627694,1.3069038,11.8224325,125.166664,480.5367,0.6676446658539663,37249.57663134432,0.04817112031126388,1219077979.0992,35.9045882806,2598.4744374761
1980-01-31,-12.585971,6.8796735,0.0,437.16824,225.00223,1.2252309072716134,37355.72495276,0.04415686028532523,1219077979.0992,35.9045882806,2598.4744374761
1980-02-01,-12.719284,4.980481,0.0,431.8527,225.8436,1.0983585844581718,37463.493627561234,0.04616399029829455,1219077979.0992,35.9045882806,2598.4744374761
1980-02-02,-12.356625,7.7142835,0.0,446.51535,222.21294,1.3110069353077871,37572.82602375871,0.04616399029829455,1219077979.0992,35.9045882806,2598.4744374761
1980-02-03,-9.5126295,7.600889,0.0,433.46945,276.79126,1.3290080457185958,37683.66633543909,0.04817112031126388,1219077979.0992,35.9045882806,2598.4744374761
1980-02-04,-5.875332,9.050553,0.0,414.80414,362.3356,1.4413197257286856,37795.959637221495,0.05218538033720254,1219077979.0992,35.9045882806,2598.4744374761
1980-02-05,-12.367721,8.512938,0.0,458.24115,216.85435,1.408222343606776,37909.65193298519,0.04415686028532523,1219077979.0992,35.9045882806,2598.4744374761
1980-02-06,-9.074457,9.194264,0.0,444.94412,277.4401,1.4955275794319838,38024.69019900618,0.05419251035017187,1219077979.0992,35.9045882806,2598.4744374761
1980-02-07,-9.5694895,5.5998945,2.1362019,349.61368,292.45856,1.217736562582542,38141.02242165891,0.06623529042798784,1219077979.0992,35.9045882806,2598.4744374761
1980-02-08,-12.826179,-3.0773942,2.2643363,256.1905,232.50104,0.6134530270242192,38258.59762985565,0.06021390038907985,1219077979.0992,35.9045882806,2598.4744374761
1980-02-09,-16.390802,0.34910575,0.11618749,451.36307,167.98376,0.805561210680965,38377.36592240985,0.05218538033720254,1219077979.0992,35.9045882806,2598.4744374761
1980-02-10,-17.577818,3.7719617,0.0,484.274,148.24051,1.0230936735649434,38497.27849052046,0.04415686028532523,1219077979.0992,35.9045882806,2598.4744374761
1980-02-11,-16.54551,4.0619516,0.0,480.2745,161.32057,1.076003439791705,38618.28763558346,0.04817112031126388,1219077979.0992,35.9045882806,2598.4744374761
1980-02-12,-13.940317,4.718399,0.0,464.65137,197.79918,1.1791722938519835,38740.34678254316,0.05419251035017187,1219077979.0992,35.9045882806,2598.4744374761
1980-02-13,-10.752044,5.19599,0.0,431.00998,256.3582,1.2532147118560668,38863.41048900039,0.05419251035017187,1219077979.0992,35.9045882806,2598.4744374761
1980-02-14,-3.3755722,2.6419613,7.8858557,148.25261,479.21777,0.9016949046720844,38987.43445029778,0.06824242044095717,1219077979.0992,35.9045882806,2598.4744374761
1980-02-15,-1.8254374,3.4579134,12.223053,132.03249,538.5843,0.9106535494228551,39112.375500802766,0.08831372057065046,1219077979.0992,35.9045882806,2598.4744374761
1980-02-16,-3.1434376,2.5394664,3.4658945,144.99312,489.51572,0.8960167835240107,39238.19161160891,0.08028520051877314,1219077979.0992,35.9045882806,2598.4744374761
1980-02-17,-4.1474953,0.60232216,0.0,161.7974,453.18048,0.7573214763663353,39364.841884873975,0.07426381047986515,1219077979.0992,35.9045882806,2598.4744374761
1980-02-18,-1.9572692,4.324625,3.4898653,160.18704,533.03015,1.0412112527714372,39492.28654501003,0.07225668046689582,1219077979.0992,35.9045882806,2598.4744374761
1980-02-19,-1.914721,4.595,2.6517067,189.43005,538.936,1.078625729860944,39620.48692693676,0.08229233053174247,1219077979.0992,35.9045882806,2598.4744374761
1980-02-20,-4.6403217,2.6663315,8.720918,190.36763,440.267,1.0131533069895775,39749.405461603725,0.10437076067440508,1219077979.0992,35.9045882806,2598.4744374761
1980-02-21,-4.483202,0.96967787,2.4757357,170.36842,442.15152,0.8429359321287432,39879.00565898177,0.09032085058361979,1219077979.0992,35.9045882806,2598.4744374761
1980-02-22,-5.358908,1.5995239,3.7372499,201.93823,415.9929,0.953689214213826,40009.25208871662,0.0842994605447118,1219077979.0992,35.9045882806,2598.4744374761
1980-02-23,-12.132846,2.7647116,0.0,463.43726,246.49835,1.1602615364764326,40140.11035863088,0.0842994605447118,1219077979.0992,35.9045882806,2598.4744374761
1980-02-24,-14.111049,4.013841,0.0,502.4684,205.38435,1.25568835345709,40271.54709125306,0.08028520051877314,1219077979.0992,35.9045882806,2598.4744374761
1980-02-25,-13.62263,6.72275,0.0,517.7598,204.38422,1.5109371024923692,40403.529898543886,0.0782780705058038,1219077979.0992,35.9045882806,2598.4744374761
1980-02-26,-10.47874,8.862116,0.0,509.39447,249.9843,1.760321761145226,40536.02735498249,0.07627094049283448,1219077979.0992,35.9045882806,2598.4744374761
1980-02-27,-4.066029,11.528274,0.0,456.70587,407.28705,2.021195313612288,40669.00896916635,0.07627094049283448,1219077979.0992,35.9045882806,2598.4744374761
1980-02-28,-7.2177353,13.252784,0.0,513.88574,306.0037,2.259304351925421,40802.44515407071,0.0782780705058038,1219077979.0992,35.9045882806,2598.4744374761
1980-02-29,-5.807351,7.8790526,0.0,424.1055,381.86224,1.6866067010633143,40936.307196104455,0.08028520051877314,1219077979.0992,35.9045882806,2598.4744374761
1980-03-01,-12.352462,3.2891443,0.0,469.01212,232.40678,1.2815121535631344,41070.56722309163,0.0842994605447118,1219077979.0992,35.9045882806,2598.4744374761
1980-03-02,-12.452264,7.054298,0.0,516.7934,219.74113,1.643315611446307,41205.19817129903,0.08831372057065046,1219077979.0992,35.9045882806,2598.4744374761
1980-03-03,-6.1428895,4.641423,0.44515386,365.8515,379.02368,1.39175157962249,41340.17375162247,0.09634224062252776,1219077979.0992,35.9045882806,2598.4744374761
1980-03-04,-5.0443892,2.1400912,3.3565335,202.33253,424.09515,1.0988248969414496,41475.46841503671,0.0923279805965891,1219077979.0992,35.9045882806,2598.4744374761
1980-03-05,-6.7096825,5.7444854,0.07883173,427.80038,355.1308,1.5459461388506146,41611.057317406034,0.08831372057065046,1219077979.0992,35.9045882806,2598.4744374761
